Gene stable ID	Gene name	Transcript stable ID	NCBI gene (formerly Entrezgene) ID
ENSRNOG00000001479	Gtf2i	ENSRNOT00000077189	353256
ENSRNOG00000046790	AABR07040887.1	ENSRNOT00000076904	
ENSRNOG00000051232	Gbe1	ENSRNOT00000076695	
ENSRNOG00000051232	Gbe1	ENSRNOT00000075964	
ENSRNOG00000051232	Gbe1	ENSRNOT00000084765	
ENSRNOG00000001006	Nptx2	ENSRNOT00000001331	288475
ENSRNOG00000001006	Nptx2	ENSRNOT00000092271	288475
ENSRNOG00000021518	Trim31	ENSRNOT00000061558	294208
ENSRNOG00000017553	Mief1	ENSRNOT00000092569	315141
ENSRNOG00000017553	Mief1	ENSRNOT00000023843	315141
ENSRNOG00000017553	Mief1	ENSRNOT00000092235	315141
ENSRNOG00000017553	Mief1	ENSRNOT00000092429	315141
ENSRNOG00000013679	Sema4d	ENSRNOT00000076019	306790
ENSRNOG00000013679	Sema4d	ENSRNOT00000076794	306790
ENSRNOG00000013679	Sema4d	ENSRNOT00000018378	306790
ENSRNOG00000001891	Gnb1l	ENSRNOT00000073377	680266
ENSRNOG00000001891	Gnb1l	ENSRNOT00000002596	680266
ENSRNOG00000062011	AABR07058511.2	ENSRNOT00000092471	
ENSRNOG00000054157	Nadk2	ENSRNOT00000083799	365699
ENSRNOG00000054157	Nadk2	ENSRNOT00000080618	365699
ENSRNOG00000010984	Anxa11	ENSRNOT00000014941	290527
ENSRNOG00000051073	AABR07040953.1	ENSRNOT00000076494	
ENSRNOG00000033883	Stard8	ENSRNOT00000076690	312113
ENSRNOG00000033883	Stard8	ENSRNOT00000077039	312113
ENSRNOG00000033883	Stard8	ENSRNOT00000075995	312113
ENSRNOG00000033883	Stard8	ENSRNOT00000043872	312113
ENSRNOG00000033883	Stard8	ENSRNOT00000081662	312113
ENSRNOG00000005753	LOC108349244	ENSRNOT00000076680	300284
ENSRNOG00000005753	LOC108349244	ENSRNOT00000077034	300284
ENSRNOG00000005753	LOC108349244	ENSRNOT00000075912	300284
ENSRNOG00000005753	LOC108349244	ENSRNOT00000076521	300284
ENSRNOG00000005753	LOC108349244	ENSRNOT00000007968	300284
ENSRNOG00000005753	LOC108349244	ENSRNOT00000087859	300284
ENSRNOG00000062219	AABR07066348.1	ENSRNOT00000093573	
ENSRNOG00000016915	Barx1	ENSRNOT00000022830	364680
ENSRNOG00000062226	AABR07037407.1	ENSRNOT00000093481	
ENSRNOG00000051149	AC122631.1	ENSRNOT00000076834	
ENSRNOG00000046104	AABR07066416.2	ENSRNOT00000072991	
ENSRNOG00000051107	AABR07012786.1	ENSRNOT00000076959	
ENSRNOG00000039749	LOC680885	ENSRNOT00000060975	680885
ENSRNOG00000009382	AABR07052486.1	ENSRNOT00000075860	
ENSRNOG00000009382	AABR07052486.1	ENSRNOT00000076202	
ENSRNOG00000009382	AABR07052486.1	ENSRNOT00000076771	
ENSRNOG00000009382	AABR07052486.1	ENSRNOT00000058524	
ENSRNOG00000009382	AABR07052486.1	ENSRNOT00000093222	
ENSRNOG00000053896	AABR07066690.1	ENSRNOT00000087537	
ENSRNOG00000002569	Mrps14	ENSRNOT00000003460	289143
ENSRNOG00000002569	Mrps14	ENSRNOT00000076962	289143
ENSRNOG00000002569	Mrps14	ENSRNOT00000076675	289143
ENSRNOG00000002569	Mrps14	ENSRNOT00000076539	289143
ENSRNOG00000002569	Mrps14	ENSRNOT00000076320	289143
ENSRNOG00000002569	Mrps14	ENSRNOT00000076016	289143
ENSRNOG00000009300	LOC103690017	ENSRNOT00000076281	103690017
ENSRNOG00000009300	LOC103690017	ENSRNOT00000076554	103690017
ENSRNOG00000009300	LOC103690017	ENSRNOT00000076281	311118
ENSRNOG00000009300	LOC103690017	ENSRNOT00000076554	311118
ENSRNOG00000018273	Ncl	ENSRNOT00000024712	25135
ENSRNOG00000051136	AABR07040951.1	ENSRNOT00000075905	
ENSRNOG00000050993	AABR07026534.1	ENSRNOT00000075497	
ENSRNOG00000053565	Cfap58	ENSRNOT00000077738	102553148
ENSRNOG00000016842	Pifo	ENSRNOT00000049155	691223
ENSRNOG00000016842	Pifo	ENSRNOT00000022731	691223
ENSRNOG00000026873	AC136588.1	ENSRNOT00000037005	
ENSRNOG00000029598	Robo2	ENSRNOT00000088878	84409
ENSRNOG00000029598	Robo2	ENSRNOT00000090497	84409
ENSRNOG00000029598	Robo2	ENSRNOT00000065748	84409
ENSRNOG00000029598	Robo2	ENSRNOT00000093706	84409
ENSRNOG00000029598	Robo2	ENSRNOT00000066439	84409
ENSRNOG00000007658	AC103101.1	ENSRNOT00000010055	
ENSRNOG00000013704	Cps1	ENSRNOT00000019023	497840
ENSRNOG00000013704	Cps1	ENSRNOT00000076059	497840
ENSRNOG00000023879	AABR07039133.1	ENSRNOT00000035857	
ENSRNOG00000017030	Arid1b	ENSRNOT00000092976	282546
ENSRNOG00000017030	Arid1b	ENSRNOT00000092849	282546
ENSRNOG00000017030	Arid1b	ENSRNOT00000084454	282546
ENSRNOG00000017030	Arid1b	ENSRNOT00000022939	282546
ENSRNOG00000062062	AABR07035380.2	ENSRNOT00000092609	
ENSRNOG00000000483	Syngap1	ENSRNOT00000040859	192117
ENSRNOG00000000483	Syngap1	ENSRNOT00000000572	192117
ENSRNOG00000000483	Syngap1	ENSRNOT00000092424	192117
ENSRNOG00000043451	Spp1	ENSRNOT00000067875	25353
ENSRNOG00000043451	Spp1	ENSRNOT00000075989	25353
ENSRNOG00000019730	Inppl1	ENSRNOT00000092952	65038
ENSRNOG00000019730	Inppl1	ENSRNOT00000066915	65038
ENSRNOG00000002314	LOC103689943	ENSRNOT00000003193	103689943
ENSRNOG00000002314	LOC103689943	ENSRNOT00000075870	103689943
ENSRNOG00000002314	LOC103689943	ENSRNOT00000077828	103689943
ENSRNOG00000002314	LOC103689943	ENSRNOT00000087156	103689943
ENSRNOG00000040287	Cyp1b1	ENSRNOT00000084171	25426
ENSRNOG00000040287	Cyp1b1	ENSRNOT00000066363	25426
ENSRNOG00000040287	Cyp1b1	ENSRNOT00000082017	25426
ENSRNOG00000061999	AABR07035380.1	ENSRNOT00000092669	
ENSRNOG00000000783	Trim40	ENSRNOT00000029070	365528
ENSRNOG00000030988	AC136588.2	ENSRNOT00000050532	
ENSRNOG00000046319	AABR07000046.1	ENSRNOT00000093216	
ENSRNOG00000046319	AABR07000046.1	ENSRNOT00000044187	
ENSRNOG00000046319	AABR07000046.1	ENSRNOT00000072186	
ENSRNOG00000002814	Higd1b	ENSRNOT00000093180	287738
ENSRNOG00000002814	Higd1b	ENSRNOT00000003765	287738
ENSRNOG00000046601	Unc5cl	ENSRNOT00000076531	301225
ENSRNOG00000046601	Unc5cl	ENSRNOT00000078464	301225
ENSRNOG00000046601	Unc5cl	ENSRNOT00000073556	301225
ENSRNOG00000013917	Igsf10	ENSRNOT00000086186	310448
ENSRNOG00000013917	Igsf10	ENSRNOT00000018628	310448
ENSRNOG00000025217	AABR07035383.1	ENSRNOT00000038958	
ENSRNOG00000049964	LOC103690044	ENSRNOT00000064023	103690044
ENSRNOG00000049964	LOC103690044	ENSRNOT00000064023	309465
ENSRNOG00000017801	Atf4	ENSRNOT00000065304	79255
ENSRNOG00000017801	Atf4	ENSRNOT00000092302	79255
ENSRNOG00000010311	Dzip1	ENSRNOT00000093385	364475
ENSRNOG00000010311	Dzip1	ENSRNOT00000093327	364475
ENSRNOG00000010311	Dzip1	ENSRNOT00000038596	364475
ENSRNOG00000046036	Itprip	ENSRNOT00000075570	100912218
ENSRNOG00000046036	Itprip	ENSRNOT00000081605	100912218
ENSRNOG00000025012	Chat	ENSRNOT00000080202	290567
ENSRNOG00000025012	Chat	ENSRNOT00000034283	290567
ENSRNOG00000038970	AABR07037410.1	ENSRNOT00000093505	363460
ENSRNOG00000038970	AABR07037410.1	ENSRNOT00000093576	363460
ENSRNOG00000038970	AABR07037410.1	ENSRNOT00000003443	363460
ENSRNOG00000006877	Efnb1	ENSRNOT00000009635	25186
ENSRNOG00000062141	Slc18a3	ENSRNOT00000092751	60422
ENSRNOG00000056541	AC108572.4	ENSRNOT00000083748	
ENSRNOG00000049596	Cfap58l1	ENSRNOT00000076262	309467
ENSRNOG00000019346	LOC103693999	ENSRNOT00000092470	103693999
ENSRNOG00000019346	LOC103693999	ENSRNOT00000092501	103693999
ENSRNOG00000019346	LOC103693999	ENSRNOT00000092721	103693999
ENSRNOG00000019346	LOC103693999	ENSRNOT00000092543	103693999
ENSRNOG00000019346	LOC103693999	ENSRNOT00000026281	103693999
ENSRNOG00000019346	LOC103693999	ENSRNOT00000092470	306607
ENSRNOG00000019346	LOC103693999	ENSRNOT00000092501	306607
ENSRNOG00000019346	LOC103693999	ENSRNOT00000092721	306607
ENSRNOG00000019346	LOC103693999	ENSRNOT00000092543	306607
ENSRNOG00000019346	LOC103693999	ENSRNOT00000026281	306607
