Gene stable ID	Transcript stable ID	Gene name	KEGG Pathway and Enzyme ID	NCBI gene ID
ENSMUSG00000034616	ENSMUST00000037992	Ssh3		245857
ENSMUSG00000032041	ENSMUST00000175765	Tirap		117149
ENSMUSG00000025898	ENSMUST00000027027	Cwf19l2		244672
ENSMUSG00000053746	ENSMUST00000066352	Ptrh1		329384
ENSMUSG00000032114	ENSMUST00000215121	Slc37a4		14385
ENSMUSG00000034616	ENSMUST00000113852	Ssh3		245857
ENSMUSG00000032114	ENSMUST00000213388	Slc37a4		14385
ENSMUSG00000008489	ENSMUST00000107109	Elavl2		15569
ENSMUSG00000008489	ENSMUST00000107111	Elavl2		15569
ENSMUSG00000008489	ENSMUST00000177109	Elavl2		15569
ENSMUSG00000032114	ENSMUST00000165839	Slc37a4		14385
ENSMUSG00000008489	ENSMUST00000147611	Elavl2		15569
ENSMUSG00000042444	ENSMUST00000049031	Mindy2		235461
ENSMUSG00000008489	ENSMUST00000176362	Elavl2		15569
ENSMUSG00000106893	ENSMUST00000202355	Vmn1r-ps7		
ENSMUSG00000032114	ENSMUST00000215001	Slc37a4		14385
ENSMUSG00000100586	ENSMUST00000227855	Vmn1r90		
ENSMUSG00000034616	ENSMUST00000237501	Ssh3		245857
ENSMUSG00000042444	ENSMUST00000213380	Mindy2		235461
ENSMUSG00000032114	ENSMUST00000213268	Slc37a4		14385
ENSMUSG00000100586	ENSMUST00000185220	Vmn1r90		
ENSMUSG00000032041	ENSMUST00000176531	Tirap		117149
ENSMUSG00000021636	ENSMUST00000225754	Marveld2		218518
ENSMUSG00000100586	ENSMUST00000226802	Vmn1r90		
ENSMUSG00000034616	ENSMUST00000235685	Ssh3		245857
ENSMUSG00000100586	ENSMUST00000227692	Vmn1r90		
ENSMUSG00000008489	ENSMUST00000107124	Elavl2		15569
ENSMUSG00000021636	ENSMUST00000163163	Marveld2		218518
ENSMUSG00000032041	ENSMUST00000177129	Tirap		117149
ENSMUSG00000100586	ENSMUST00000227788	Vmn1r90		
ENSMUSG00000100586	ENSMUST00000227566	Vmn1r90		
ENSMUSG00000036395	ENSMUST00000040398	Glb1l2	00600+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000040398	Glb1l2	00531+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000040398	Glb1l2	00511+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000040398	Glb1l2	00052+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000040398	Glb1l2	00604+3.2.1.23	244757
ENSMUSG00000032041	ENSMUST00000176685	Tirap		117149
ENSMUSG00000046201	ENSMUST00000076734	Scaf8		106583
ENSMUSG00000100586	ENSMUST00000226510	Vmn1r90		
ENSMUSG00000034616	ENSMUST00000236794	Ssh3		245857
ENSMUSG00000021636	ENSMUST00000168772	Marveld2		218518
ENSMUSG00000032041	ENSMUST00000176021	Tirap		117149
ENSMUSG00000100586	ENSMUST00000226264	Vmn1r90		
ENSMUSG00000036395	ENSMUST00000066560	Glb1l2	00600+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000066560	Glb1l2	00531+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000066560	Glb1l2	00511+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000066560	Glb1l2	00052+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000066560	Glb1l2	00604+3.2.1.23	244757
ENSMUSG00000032041	ENSMUST00000176611	Tirap		117149
ENSMUSG00000046201	ENSMUST00000232048	Scaf8		106583
ENSMUSG00000037621	ENSMUST00000206425	Atoh8		71093
ENSMUSG00000036395	ENSMUST00000162702	Glb1l2	00600+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000162702	Glb1l2	00531+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000162702	Glb1l2	00511+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000162702	Glb1l2	00052+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000162702	Glb1l2	00604+3.2.1.23	244757
ENSMUSG00000032041	ENSMUST00000177052	Tirap		117149
ENSMUSG00000021636	ENSMUST00000022137	Marveld2		218518
ENSMUSG00000074417	ENSMUST00000070639	Gm14548		18724
ENSMUSG00000074417	ENSMUST00000070639	Gm14548		18730
ENSMUSG00000074417	ENSMUST00000070639	Gm14548		100038909
ENSMUSG00000036395	ENSMUST00000162252	Glb1l2	00600+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000162252	Glb1l2	00531+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000162252	Glb1l2	00511+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000162252	Glb1l2	00052+3.2.1.23	244757
ENSMUSG00000036395	ENSMUST00000162252	Glb1l2	00604+3.2.1.23	244757
ENSMUSG00000037621	ENSMUST00000042646	Atoh8		71093
ENSMUSG00000000411	ENSMUST00000000421	Tssk3	04714+2.7.11.1	58864
ENSMUSG00000000411	ENSMUST00000000421	Tssk3	05165+2.7.11.1	58864
ENSMUSG00000000411	ENSMUST00000000421	Tssk3	04150+2.7.11.1	58864
ENSMUSG00000000411	ENSMUST00000000421	Tssk3	04151+2.7.11.1	58864
ENSMUSG00000000411	ENSMUST00000000421	Tssk3	05170+2.7.11.1	58864
ENSMUSG00000000411	ENSMUST00000000421	Tssk3	04926+2.7.11.1	58864
ENSMUSG00000000411	ENSMUST00000000421	Tssk3	05163+2.7.11.1	58864
ENSMUSG00000034616	ENSMUST00000237670	Ssh3		245857
ENSMUSG00000026919	ENSMUST00000028283	Lcn4		16821
ENSMUSG00000057381	ENSMUST00000071696	Tas2r123		353167
ENSMUSG00000023140	ENSMUST00000203657	Reg2		19693
ENSMUSG00000036395	ENSMUST00000162378	Glb1l2		244757
ENSMUSG00000029370	ENSMUST00000202784	Rassf6		73246
ENSMUSG00000091497	ENSMUST00000172155	Gm44		212952
ENSMUSG00000021572	ENSMUST00000222609	Cep72		74470
ENSMUSG00000030194	ENSMUST00000032315	Tas2r116		112408
ENSMUSG00000030138	ENSMUST00000032237	Bms1		213895
ENSMUSG00000023140	ENSMUST00000023906	Reg2		19693
ENSMUSG00000029370	ENSMUST00000202807	Rassf6		73246
ENSMUSG00000089715	ENSMUST00000109627	Cbx6		494448
ENSMUSG00000029370	ENSMUST00000202704	Rassf6		73246
ENSMUSG00000028948	ENSMUST00000103197	Nol9		74035
ENSMUSG00000029992	ENSMUST00000113658	Gfpt1	00520+2.6.1.16	14583
ENSMUSG00000029992	ENSMUST00000113658	Gfpt1	00250+2.6.1.16	14583
ENSMUSG00000042096	ENSMUST00000112292	Dao		13142
ENSMUSG00000029370	ENSMUST00000201121	Rassf6		73246
